BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,
hallway-size,,,,,,,,,,,,,,
06/08/2018 02:49:04:421 -0500,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,Row Labels,Average of ticks,Average of average-time-to-evacuate
63,build my own!,1,1,FALSE,200,7,10,354,354,178.095,,,,
64,build my own!,1,1,FALSE,200,7,10,355,355,178.075,,,,
65,build my own!,1,1,FALSE,200,7,10,355,355,177.39,,,,
66,build my own!,1,1,FALSE,200,7,10,344,344,169.69,,,,
67,build my own!,1,1,FALSE,200,7,10,343,343,173.915,,,,
68,build my own!,1,1,FALSE,200,7,10,345,345,173.155,,,,
69,build my own!,1,1,FALSE,200,7,10,347,347,176.53,,,,
70,build my own!,1,1,FALSE,200,7,10,357,357,174.85,,,,
71,build my own!,1,1,FALSE,200,7,10,353,353,179.145,,,,
72,build my own!,1,1,FALSE,200,7,10,365,365,183.165,,,,
73,build my own!,1,1,FALSE,200,7,10,347,347,175.175,,,,
75,build my own!,1,1,FALSE,200,7,10,339,339,167.91,,,,
74,build my own!,1,1,FALSE,200,7,10,360,360,177.915,,,,
77,build my own!,1,1,FALSE,200,7,10,342,342,169.12,,,,
76,build my own!,1,1,FALSE,200,7,10,357,357,181.2,,,,
78,build my own!,1,1,FALSE,200,7,10,347,347,176.165,,,,
79,build my own!,1,1,FALSE,200,7,10,361,361,180.83,,,,
80,build my own!,1,1,FALSE,200,7,10,357,357,182.405,,,,
81,build my own!,1,1,FALSE,200,7,10,345,345,174.025,,,,
82,build my own!,1,1,FALSE,200,7,10,350,350,179.45,,,,
83,build my own!,1,1,FALSE,200,7,10,353,353,179.55,,,,
84,build my own!,1,1,FALSE,200,7,10,356,356,178.035,,,,
85,build my own!,1,1,FALSE,200,7,10,360,360,180.55,,,,
86,build my own!,1,1,FALSE,200,7,10,353,353,172.235,,,,
87,build my own!,1,1,FALSE,200,7,10,357,357,179.715,,,,
88,build my own!,1,1,FALSE,200,7,10,345,345,169.875,,,,
89,build my own!,1,1,FALSE,200,7,10,350,350,178.83,,,,
90,build my own!,1,1,FALSE,200,7,10,359,359,179.635,,,,
91,build my own!,1,1,FALSE,200,9,10,359,359,176.04,,,,
92,build my own!,1,1,FALSE,200,9,10,345,345,175.38,,,,
93,build my own!,1,1,FALSE,200,9,10,350,350,177.305,,,,
94,build my own!,1,1,FALSE,200,9,10,346,346,171.88,,,,
95,build my own!,1,1,FALSE,200,9,10,357,357,180.685,,,,
96,build my own!,1,1,FALSE,200,9,10,337,337,171.115,,,,
97,build my own!,1,1,FALSE,200,9,10,363,363,176.105,,,,
98,build my own!,1,1,FALSE,200,9,10,354,354,181.53,,,,
99,build my own!,1,1,FALSE,200,9,10,339,339,172.18,,,,
100,build my own!,1,1,FALSE,200,9,10,350,350,174.83,,,,
101,build my own!,1,1,FALSE,200,9,10,350,350,176.17,,,,
102,build my own!,1,1,FALSE,200,9,10,337,337,166.75,,,,
103,build my own!,1,1,FALSE,200,9,10,344,344,175.52,,,,
104,build my own!,1,1,FALSE,200,9,10,355,355,178.51,,,,
105,build my own!,1,1,FALSE,200,9,10,346,346,175.19,,,,
106,build my own!,1,1,FALSE,200,9,10,351,351,173.445,,,,
107,build my own!,1,1,FALSE,200,9,10,350,350,174.195,,,,
108,build my own!,1,1,FALSE,200,9,10,344,344,172.44,,,,
109,build my own!,1,1,FALSE,200,9,10,346,346,176.12,,,,
110,build my own!,1,1,FALSE,200,9,10,353,353,180.385,,,,
111,build my own!,1,1,FALSE,200,9,10,362,362,181.985,,,,
112,build my own!,1,1,FALSE,200,9,10,351,351,178.41,,,,
113,build my own!,1,1,FALSE,200,9,10,344,344,177.235,,,,
114,build my own!,1,1,FALSE,200,9,10,353,353,174.475,,,,
115,build my own!,1,1,FALSE,200,9,10,334,334,165.405,,,,
116,build my own!,1,1,FALSE,200,9,10,347,347,175.45,,,,
117,build my own!,1,1,FALSE,200,9,10,356,356,179.665,,,,
118,build my own!,1,1,FALSE,200,9,10,348,348,174.41,,,,
119,build my own!,1,1,FALSE,200,9,10,351,351,172.48,,,,
120,build my own!,1,1,FALSE,200,9,10,362,362,180.42,,,,
121,build my own!,1,1,FALSE,200,13,10,352,352,180.595,,,,
122,build my own!,1,1,FALSE,200,13,10,343,343,170.905,,,,
124,build my own!,1,1,FALSE,200,13,10,343,343,169.24,,,,
125,build my own!,1,1,FALSE,200,13,10,337,337,172.205,,,,
123,build my own!,1,1,FALSE,200,13,10,345,345,172.36,,,,
126,build my own!,1,1,FALSE,200,13,10,338,338,171.565,,,,
127,build my own!,1,1,FALSE,200,13,10,363,363,183.555,,,,
128,build my own!,1,1,FALSE,200,13,10,351,351,176.3,,,,
