BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,,,,,,,,,,,
door-proximity,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2018 20:24:15:355 -0500,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,,Column Labels,,,,,,,,,,,
88,build my own!,2,3,FALSE,150,21,0,150,150,75.94666667,,,,,,,,,,,,,,
86,build my own!,2,3,FALSE,150,21,0,151,151,74.82666667,,,,,,,,,,,,,,
87,build my own!,2,3,FALSE,150,21,0,150,150,77.30666667,,,,,,,,,,,,,,
89,build my own!,2,3,FALSE,150,21,0,141,141,74.68666667,,,,,,,,,,,,,,
90,build my own!,2,3,FALSE,150,21,0,151,151,80.93333333,,,,,,,,,,,,,,
92,build my own!,2,3,FALSE,200,21,0,188,188,96.395,,,,,,,,,,,,,,
91,build my own!,2,3,FALSE,200,21,0,204,204,104.165,,,,,,,,,,,,,,
93,build my own!,2,3,FALSE,200,21,0,202,202,103.78,,,,,,,,,,,,,,
94,build my own!,2,3,FALSE,200,21,0,205,205,110.355,,,,,,,,,,,,,,
95,build my own!,2,3,FALSE,200,21,0,201,201,105.265,,,,,,,,,,,,,,
97,build my own!,2,3,FALSE,200,21,0,203,203,103.52,,,,,,,,,,,,,,
96,build my own!,2,3,FALSE,200,21,0,202,202,108.775,,,,,,,,,,,,,,
101,build my own!,2,5,FALSE,25,21,0,61,61,35.88,,,,,,,,,,,,,,
102,build my own!,2,5,FALSE,25,21,0,64,64,35.32,,,,,,,,,,,,,,
103,build my own!,2,5,FALSE,25,21,0,63,63,35.92,,,,,,,,,,,,,,
104,build my own!,2,5,FALSE,25,21,0,64,64,31.32,,,,,,,,,,,,,,
98,build my own!,2,3,FALSE,200,21,0,189,189,98.415,,,,,,,,,,,,,,
105,build my own!,2,5,FALSE,25,21,0,61,61,25.96,,,,,,,,,,,,,,
106,build my own!,2,5,FALSE,25,21,0,59,59,32.12,,,,,,,,,,,,,,
107,build my own!,2,5,FALSE,25,21,0,64,64,33.52,,,,,,,,,,,,,,
108,build my own!,2,5,FALSE,25,21,0,61,61,33,,,,,,,,,,,,,,
109,build my own!,2,5,FALSE,25,21,0,68,68,43.44,,,,,,,,,,,,,,
110,build my own!,2,5,FALSE,25,21,0,65,65,37.36,,,,,,,,,,,,,,
112,build my own!,2,5,FALSE,50,21,0,68,68,37.14,,,,,,,,,,,,,,
111,build my own!,2,5,FALSE,50,21,0,65,65,37.36,,,,,,,,,,,,,,
