BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,,,,,,
number-of-rooms,,,,,,,,,,,,,,,,,,,
06/10/2018 00:02:27:518 -0500,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,Average of ticks,Column Labels,,,,,,
262,build my own!,1,19,FALSE,100,7,2,202,202,113.6,,,,,,,,,
263,build my own!,1,19,FALSE,100,7,2,198,198,110.09,,,,,,,,,
264,build my own!,1,19,FALSE,100,7,2,204,204,115.27,,,,,,,,,
265,build my own!,1,19,FALSE,100,7,2,199,199,111.62,,,,,,,,,
266,build my own!,1,19,FALSE,100,7,2,197,197,112,,,,,,,,,
267,build my own!,1,19,FALSE,100,7,2,204,204,111.9,,,,,,,,,
269,build my own!,1,19,FALSE,100,7,2,202,202,112.37,,,,,,,,,
268,build my own!,1,19,FALSE,100,7,2,215,215,118.52,,,,,,,,,
270,build my own!,1,19,FALSE,100,7,2,205,205,117.44,,,,,,,,,
271,build my own!,1,19,FALSE,100,7,2,209,209,120.7,,,,,,,,,
272,build my own!,1,19,FALSE,100,7,2,204,204,115.05,,,,,,,,,
273,build my own!,1,19,FALSE,100,7,2,199,199,115.53,,,,,,,,,
274,build my own!,1,19,FALSE,100,7,2,210,210,121.99,,,,,,,,,
276,build my own!,1,19,FALSE,100,7,4,194,194,107,,,,,,,,,
275,build my own!,1,19,FALSE,100,7,2,211,211,116.52,,,,,,,,,
277,build my own!,1,19,FALSE,100,7,4,203,203,110.98,,,,,,,,,
278,build my own!,1,19,FALSE,100,7,4,186,186,100.29,,,,,,,,,
280,build my own!,1,19,FALSE,100,7,4,189,189,98.11,,,,,,,,,
279,build my own!,1,19,FALSE,100,7,4,183,183,104.42,,,,,,,,,
281,build my own!,1,19,FALSE,100,7,4,202,202,111.25,,,,,,,,,
283,build my own!,1,19,FALSE,100,7,4,183,183,101.13,,,,,,,,,
282,build my own!,1,19,FALSE,100,7,4,201,201,109.48,,,,,,,,,
284,build my own!,1,19,FALSE,100,7,4,183,183,101.3,,,,,,,,,
285,build my own!,1,19,FALSE,100,7,4,192,192,106.34,,,,,,,,,
286,build my own!,1,19,FALSE,100,7,4,185,185,95.76,,,,,,,,,
288,build my own!,1,19,FALSE,100,7,4,186,186,98.03,,,,,,,,,
287,build my own!,1,19,FALSE,100,7,4,201,201,104.78,,,,,,,,,
